DANE_code,municipality,hotel_name,address,phone_number,mail,owner
15176,CHIQUINQUIRA,HOTEL EL PORTICO,CARRERA 9 NO 16 21,7263810,NI,RUBY SOLANYI ROCHA PAEZ
15176,CHIQUINQUIRA,HOTEL RIO,CARRERA 10 NO 17 93,7262832,NI,CANDIDO FLOREZ MORALES
15176,CHIQUINQUIRA,HOTEL RESTAURANTE IMPERIAL,CARRERA 9 NO 4 69/73,7263442,gmo3d@hotmail.com,FERNANDO IBAGUE PINILLA
15176,CHIQUINQUIRA,HOTEL MOYBA,CARRERA 9 NO 17 53,7262649,ni,VIRGINIA GUERRERO MATEUS
15176,CHIQUINQUIRA,HOTEL Y RESTAURANTE ALFEREZ REAL,CARRERA 9 NO 5 23,7265018,NI,LUIS AUGUSTO MARTINEZ PAEZ
15176,CHIQUINQUIRA,HOTEL REAL MUISCA,CALLE 16 NO 9 22,7264647,,CORNELIO DE JESÚS MESA GARCÍA
15176,CHIQUINQUIRA,HOSPEDAJE AUGUSTO,CALLE 16 NO 7A 13,7264292,NI,MARIA CARLINA LOPEZ BARRAGAN
15176,CHIQUINQUIRA,HOTEL LUZ MAR,CARRERA 9 NO 2 35 SUR,7265220,NI,WILSON JAVIER CASTELLANOS PACHON
15176,CHIQUINQUIRA,HOSPEDAJE SAN MARTIN,CARRERA 9 NO 19 84,3138425505,NI,RUBEN DARIO CORTEZ GUERRERO
15176,CHIQUINQUIRA,HOTEL CALLE REAL CHIQUINQUIRA,CALLE 1A 8 24,7263539,salomoncallerealalatinmail.com,SALOMON CASTELLANO FLORIAN
15176,CHIQUINQUIRA,LA ALDEA DE ZUHE,VEREDA HATO DE SUSA,7264866,zamips@yahoo.com,YULIET ZAMIRA MURCIA PAEZ
15176,CHIQUINQUIRA,HOSPEDAJE ANDALUZER,CALLE 19 NO 13 44,7265335,NI,EDILBERTO RAMIREZ 
15176,CHIQUINQUIRA,HOTEL EL BOSQUE DE LOS PINOS,CARRERA 9 NO 3B 08,7264582,yeigo25@hotmail.com,YEIMY ALEXANDRA GONOZALEZ MELO
15176,CHIQUINQUIRA,HOSPEDAJE CHIQUINQUIREÑO,CARRERA 10 NO 17 90 CENTRO,3138307268,fanhera@hotmail.com,FANNY MARIA HERNANDEZ RAMIREZ
15176,CHIQUINQUIRA,HOTEL ORQUIDEA A.B,CALLE 18 NO 7 32 34,3102257095,brujildita2511@hotmail.com,ROSA TULIA PACHON DE ARDILA
15185,CHITARAQUE,HOTEL ESTELAR,CARRERA 3 NO 1 83,7290508,wijepa@gmail.com,WILSON JESUS PARRA ABAUNZA
15185,CHITARAQUE,COMPLEJO TURISTICO SINCERIN,KILOMETRO 44 VIA BARBOSA BUCARAMANGA,3108065941,lepicas1911@live.com,LUIS EMIGDIO PINZON CASTRO
15185,CHITARAQUE,JUAN JOTA CHITARAQUE,VEREDA POTRERO GRANDE,3132934336,alpa1720@hotmail.com,SAUL AGUILAR VARGAS
15185,CHITARAQUE,LAS BRISAS DEL HUERTAS,VEREDA POTRERO GRANDE,3213733207,milena_1726@hotmail.com,SANDRA MILENA GUARIN RUBIO
15236,CHIVOR,HOTEL LA VALLE,CARRERA 5 NO 6 10,7533019,fernandocalderon64@hotmail.com,VINICIO FERNANDO CALDERON SALCEDO
15189,CIENEGA,PANORAMA PLAZA HOTEL,CALLE 3 NO 6 67,3164726003,panoramaplazahotel@yahoo.es,MANUEL ANGEL GONZALEZ CRUZ
15204,COMBITA,FINCA EL RECREO ECOLOGICO,VEREDA SAN ISIDRO,7403104,elrecreoeco@hotmail.com,DIOGENES LEONEL GARZON GUZMAN
15226,CUITIVA,HOSTERIA BALNEARIO EL BATAN,VEREDA LA VEGA,7790000,mapicas2002@yahoo.com,MARIA DEL ROSARIO CASTRO REBOLLEDO
15226,CUITIVA,HOTEL REFUGIO RANCHO TOTA,KILOMETRO 21 VIA SOGAMOSO AQUITANIA,7708083,hotelranchotota@yahoo.es,NELSY AURORA BARRERA DE BERNAL
15226,CUITIVA,HOTEL EL CAMINO REAL,KILOMETRO 20 VIA SOGAMOSO AQUITANIA,7700684,mauricioefigueroa@yahoo.com,MAURICIO EFRAIN FIGUEROA VELASCO
15226,CUITIVA,TOTA RESORT SPA,VEREDA BALCONES,4083346,info@lagunadetota.com,GLEN EDUARDO VASQUEZ RUIZ
15226,CUITIVA,RECREACION Y EVENTOS EL MIRADOR DEL LAGO,VEREDA LA VEGA Y ARBOLOCOS,3202208331,elmiradordellago@gmail.com,ABDENAGO VELASCO OSUNA
15238,DUITAMA,HOTEL OICATA,CARRERA 16 NO 13 02,7603259,NI,ARMANDO RINCON TORRES
15238,DUITAMA,HOTEL LAS ORQUIDEAS,CARRERA 35 NO 11 81,7603272,,ALBA LUZ AMEZQUITA INFANTE
15238,DUITAMA,HOTEL AZUAY,CARRERA 18 NO 17 53,7603350,NIO,ROSALBA BARRERA REYES
15238,DUITAMA,DINASTIA REAL HOTEL,CALLE 11 NO 14 70,7616060,dinastiarealhotel@hotmail.com,ELBERTO JIMENEZ TAMAYO
15238,DUITAMA,HOTEL INTERNACIONAL PLAZA,CALLE 16 NO 18 69,7603304,NI,GLORIA ESPERANZA TAMAYO AMEZQUITA
15238,DUITAMA,HOTEL CATALINA REAL,CARRERA 16 NO 17 25/27,7606959,hotelcatalinareal@colombia.com,MARIELA DEL CARMEN CUADROS DE CUADROS
15238,DUITAMA,HOTEL DEL PARQUE,CALLE 18 NO 17 59,7602254,NI,MARIA AMPARO PAEZ FERRO
15238,DUITAMA,HOTEL FARAON,CALLE 17 NO 18 10,7604677,NI,WILLINGTON BECERRA GALEANO
15238,DUITAMA,HOTEL TUNJO DORADO,CARRERA 19 NO 13 51,7631992,,BELQUI RAQUEL BRICEÑO AVELLANEDA
15238,DUITAMA,HOTEL PERLA REAL VICTORIA,CARRERA 19 NO 15 41,7603982,NI,OLGA MARIA ALBARACIN DE RINCON
15238,DUITAMA,HOTEL HACIENDA EL CARMEN Y CENTRO DE CONVENCIONES,CALLE 8A NO 35 14,7620813,NI,LUIS ALEJANDRO ALARCON L.
15238,DUITAMA,HOTEL Y RESTAURANTE SANTA ISABEL,CARRERA 18 NO 18 59,7602623,hotelsantaisabel@hotmail.com,CELEDONO SILVA PESCA
15238,DUITAMA,HOTEL CASTILLO YENNY,CARRERA 17 NO 15 39,7602837,NI,YENNY VIVIANA VEGA BECERRA
15238,DUITAMA,HOTEL HISCA,CARRERA 19 NO 16 58,7601188,NI,NEILA CAROLINA SANABRIA GOMEZ
15238,DUITAMA,HOTEL YELIBETH S DE H,CALLE 15 NO 19 76,7600234,NI,NORA NANCY MORENO TORRES
15238,DUITAMA,HOTEL CLASS,CARRERA 19 NO 18 18,7623176,NI,MARTHA ISABEL OROZCO RUIZ
15238,DUITAMA,HOTEL Y RESTAURANTE BAR PARAISO TROPICAL,CARRERA 14 NO 12 67,3114802280,NI,HERIBERTO BECERRA CORREDOR
15238,DUITAMA,CASA DE BANQUETES Y EVENTOS REAL PICO VICTORIA,CALLE 15 NO 17 36,7605859,NI,ALFONSO LOPEZ BARRERA
15238,DUITAMA,HOTEL MAGISTRAL,CARRERA 19 NO 15 27,7605012,hotelmagistral@hotmail.com,LIZETH ZAYURI FAJARDO QUINTERO
15238,DUITAMA,HOTEL GLORIA,CALLE 17 NO 19 17,7611520,NI,GLORIA MERCEDES HUERTAS DE MEDINA
15238,DUITAMA,HOSPEDAJE CORDOBES,CALLE 17 NO 19 34,7604954,hospedajecordobes@yahoo.es,OLGA LUCIA MANCIPE RIVERA
15238,DUITAMA,HOTEL EL MARQUEZ DE SAN FERNANDO,CARRERA 19 NO 12 15,7601754,fedo.sanchez@gmail.com,HECTOR ALEJANDRO SANCHEZ PACHECO
15238,DUITAMA,HOTEL MI REFUGIO,743762554,7601754,fedosanchez@gmail.com,WILLIAM FERNANDO SANCHEZ PACHECO
15238,DUITAMA,HOTEL SUAREL CENTER,CARRERA 17 NO 17 30 ,7612246,hotelsuarelc@gmail.com,ROSENDO VARGAS VERDUGO
15238,DUITAMA,HOSPEDAJE JOHN FREDY,CARRERA 19 NO 18 42,7601736,hospedajejohnfredy@gmail.com,MARIA ENGRACIA MARTINEZ DE TORRES
15238,DUITAMA,HOTELITO BOYACENSE,PUEBLITO BOYACENSE CASA 6-4,7611757,hotelitoboyacense@hotmail.com,HUMBERTO ANTONIO CARRILLO VARGAS
15238,DUITAMA,VILLA SALOME,MANZANA 3 CASA 204 PUEBLITO BOYACENSE,7611135,lf_granados@hotmail.com,LUIS FERNANDO GRANADOS RINCON
15238,DUITAMA,KUR-HOTEL BIO-SPA,KILOMETRO 5 VIA DUITAMA PAIPA,7638009,ipsbiosalud@yahoo.com,FRANCISCO JAVIER GARCIA GARCIA
15238,DUITAMA,SHALOM HOTEL DUITAMA,CARRERA 19 NO 15 32,7630777,shalomhotel@hotmail.com,VICTORIA DUARTE DE PINEDA
15238,DUITAMA,HOTEL CHAYANY,CALLE 18 NO 18 29,7601854,NI,JOSE ALIRIO BARRERA HIGUERA
15238,DUITAMA,SAN LUIS CASA HOTEL SERVICIO TURISTICO Y HOTELERO L G C,CALLE 15 NO 14 16,3102682656,sanluiscasahotel@yahoo.es,GUILLERMO CERON GUEVARA
15238,DUITAMA,HOTEL PUNTO VERDE,CALLE 18 NO 17 60,7613707,florecita_md@yahoo.es,EPIFANIO MERCHAN MORENO
15238,DUITAMA,HOTEL VIRREY PLAZA VEGA,CALLE 17 NO 17 45,7611024,vegawilmer1800@gmail.com,WILMER AUGUSTO VEGA BECERRA
15238,DUITAMA,HOTEL CHANEL,CARRERA 17 NO 18 27,3118682904,hotelchanel@hotmail.com,ROSA ELENA MERCHAN DIAZ
15238,DUITAMA,HOTEL MERCY,CALLE 17 NO 19 57,7604202,NI,MERCEDES MARTINEZ DE VARGAS
15238,DUITAMA,HOTEL NUEVO EDEN DUITAMA,CALLE 17 NO 9 40,7601904,NI,CARLOS ALFREDO MEDINA HUERTAS
15244,EL COCUY,HOTEL CASA MUÑOZ,CARRERA 5 NO 7 28 36,7890328,hotelcasamunoz@hotmail.com,SANDRA JEANNETTE MUÑOZ BLANCO
15244,EL COCUY,LA POSADA DEL MOLINO,CARRERA 3 NO 7 51 BARRIO VENEZUELA,7890377,juancho1635@latinmail.com,PABLO ANTONIO TORRES VELANDIA
15272,FIRAVITOBA,HOTEL Y RESTAURANTE ZUA DE FIRAVITOBA,CARRERA 4 NO 8 92,3112131848,hotelzuadefiravitoba@gmail.com,
15293,GACHANTIVA,HOSPEDAJE CAMPESTRE LA PERIQUERA,CARRERA 6B NO 25A 41,7443068,jorgevillamil77@gmail.com,FRANCISCO DE BORJA VILLAMIL PIZA
15293,GACHANTIVA,FINCA ECOTURISTICA EL MOLINO,GACHANTIVA CENTRO,3143411753,elmolino_gachantiva@hotmail.com,LADY CATHERINE PIZA MONTENEGRO
15322,GUATEQUE,HOTEL TU REFUGIO,CARRERA 7 NO 11 21,7540071,NI,NUMA FERNANDEZ DE GOMEZ
15322,GUATEQUE,RESIDENCIAS EL ORIENTE,CALLE 10 NO 7 75,7540168,lorenliz@hotmail.com,MARIA CECILIA SANCHEZ DE GARCIA
15322,GUATEQUE,HOTEL VILLA HOTEL,CALLE 10 NO 8 11,7541210,NI,SANDRA MILENA MORA RUBIANO
15322,GUATEQUE,GUATOC CACIQUE HOTEL,CARRERA 7 NO 11 30,7540087,3115045512,ANA ISABEL FAJARDO LOZANO
15322,GUATEQUE,HOTEL BACHUE,CALLE 11 NO 7 88,7540152,NI,JULIA INES USECHE DE VARGAS
15322,GUATEQUE,EL GRAN HOTEL CENTRAL,CALLE 11 NO 7 48,7540367,wilsonvc9@hotmail.com,CARLOS SAMUEL CUESTA MEDINA
15322,GUATEQUE,HOTEL BALNEARIO LAS TERRAZAS,KILOMETRO 1 VIA SUTATENZA,7540795,wilsonvc9@hotmail.com,YALYLE OROZCO ESCOBAR
15332,GUICAN,KABAÑAS KANWARA,VEREDA EL TABOR,3112316004,infokanwara@gmail.com,
15332,GUICAN,LA POSADA SIERRA NEVADA,GUICAN VEREDA EL TABOR,8020601,emprendersd@yahoo.es,ANGELA MARCELA SANCHEZ CORREA
15332,GUICAN,CABAÑAS PEÑA BLANCA,VEREDA EL TABOR,8020600,NI,MARIA ELDA CRISTANCHO QUINTERO
15332,GUICAN,POSADA TURISTICAS BRISAS DEL NEVADO,CARRERA 5 NO 4 57,7897028,macrivalnu@yahoo.es,MARIA CRISTINA VALBUENA NUÑEZ
15362,IZA,REGISTRO PRUEBA,calle 5 no 10 34,6353535,paoct5@hotmail.com,EE J U
15362,IZA,HOTEL COMPLEJO TURISTICO COMAMOS TRUCHA,CARRERA 5 NO 6 14,7790002,caroyneil@yahoo.es,NEIL FERNANDO URIBE RUIZ
15362,IZA,HOTEL SANTA ISABEL IZA,CALLE 4 NO 5A 18,3153344580,jmsepulveda11@hotmail.com,JUANA MARITZA SEPULVEDA REYES
15362,IZA,COMPLEJO HOTELERO TERMAL,CARRERA 4 NO 5 38,7790069,mmsanchez81@hotmail.com,MARGRIT MILENA SANCHEZ RODRIGUEZ
15425,MACANAL,SINAI MACANAL,DATIL MACANAL,6192364,NI,RAFAEL MARIA DAZA MONTENEGRO
15455,MIRAFLORES,HOTEL CASALOMA,CARRERA 12 NO 2 01,7330310,hotelcasaloma@hotmail.com,GLADYS ALICIA MONROY GARZON
15455,MIRAFLORES,CASA HOTEL LOS BALCONES,CALLE 4 NO 12 204,7330101,los balconescasahotel@hotmail.com,CLARA PATRICIA GAONA MORA
15455,MIRAFLORES,LA POSADA DE DON JUAN,CARRERA 8 NO 4 56 PEATONAL,7331010,laposadadedonjuanmiraflores@yahoo.com,MARIA TERESA ALFONSO ALFONSO
15455,MIRAFLORES,HOTEL YANUBA,CARRERA 9 NO 2 45,3107574203,hotelyanuba@gmail.com,TITO HERNAN DAZA NOVOA
15466,MONGUI,GRANJA AGROTURISTICA SAN CRISTOBAL,VEREDA CENTRO PORTON BLANCO,7704134,josemiguelbarreramartinez@yahoo.es,JOSE MIGUEL BARRERA MARTINEZ
15466,MONGUI,POSADA TURISTICA MARIA AUXILIADORA,KILOMETRO 1 SALIDA A SOGAMOSO VEREDA EL CENTRO,7782505,josecely55@hotmail.com,JOSE ABRAHAM CELY PLAZAS
15469,MONIQUIRA,HOTEL CAMPESTRE LOS ARRAYANES,KILOMETRO 5 VIA MONIQUIRA BARBOSA,7486272,hotelarrayanes@yahoo.com,GUILLERMO GOMEZ GARCIA
15469,MONIQUIRA,CENTRO VACACIONAL COMFABOY,CALLE 1 NO 8 00 KILOMETRO 2 VIA SANTA SOFIA,7282214,ytiria@comfaboy.com.co,NESTOR RAUL VEGA GOMEZ
15469,MONIQUIRA,HOTEL CIUDAD DULCE,CARRERA 3 NO 16 83,7281097,NI,JHON ALEXANDER CADENA 
15469,MONIQUIRA,HOTEL BALCONES DE MONICA,CALLE 19 NO 5 78,7282611,NI,LUVID HERNANDO CIFUENTES VELASCO
15469,MONIQUIRA,HOTEL CLARA LUZ,CALLE 19 NO 4 66,87282278,NI,AMPARO ABRIL DE RODRIGUEZ
15469,MONIQUIRA,HOTEL BAHIA MONIQUIRA,CALLE 16 NO 5 40,7280977,maolgahu@hotmail.com,ANCISAR PARRA AVILA
15469,MONIQUIRA,FINCA RECREACIONAL VILLA MARIA,VEREDA SAN VICENTE,7482076,veronicagutierrez55@hotmail.com,MARIA CRISTINA AVILA BOHORQUEZ
15469,MONIQUIRA,HOTEL ENGATAMA,CARRERA 3A NO 16 155 PISO 3,7282591,luisrive1120@hotmail.com,LUZ MERY TAMAYO PARRA
15469,MONIQUIRA,LA CABAÑA HOTEL,CARRERA 5 NO 20 23,7281774,NI,MARIA LILIA CASTAÑEDA MORALES
15469,MONIQUIRA,LA POSADA DE BACHUE,CARRERA 5 NO 16 22,7282146,NI,HELIO JOSE CONTRERAS CUERVO
15469,MONIQUIRA,EL CASTILLO HOTEL ECOTURISTICO,1.8 KILOMETRO VIA MONIQUIRA TUNJA,4156008,gerencia.hotelelcastillo@gmail.com,JORGE HUMBERTO PUENTES VILLAMIL
15469,MONIQUIRA,RECREAR GAIA MONIQUIRA,KILOMETRO 5 VIA MONIQUIRA BARBOSA,7481755,recrearsau7@gmail.com,ALFONSO LEON ROJAS
15469,MONIQUIRA,CENTRO RECREACIONAL LAS PALMAS MONIQUIRA,VEREDA NEVAL Y CRUCES ,3112782620,rluzbernarda@yahoo.com,LUZ BERNARDA RODRIGUEZ CUEVAS
15469,MONIQUIRA,PARQUE RECREACIONAL LAGO CLUB,VEREDA SAN VICENTE BAJO,2407331,reservas@lagoclubmoniquira.com,PASCUAL CAMACHO MORA
15469,MONIQUIRA,CENTRO VACACIONAL CANAPRO O.C.,CARRERA 10 NO 22 97,7423094,NI,CESAR SERRANO SANCHEZ
15491,NOBSA,COMPLEJO TURISTICO PUNTA LARGA,KILOMETRO 7 VIA DUITAMA BELENCITO,7605841,hotelpuntalarga@yahoo.com,FRANCISCO AUGUSTO BERRIO ZAFRA
15491,NOBSA,HOTEL SANTA ROSALIA,KILOMETRO 7 VIA DUITAMA BELENCITO,7600702,NI,ROSALBA GARZON DE VIETTO
15491,NOBSA,HOSTERIA SAN LUIS,KILOMETRO 7 AUTOPISTA DUITAMA BELENCITO,7603260,hosteriasanluis@hotelescondestino.com,LUIS EDUARDO ALARCON ACEVEDO
15491,NOBSA,HOTEL NOBSA COLONIAL,CARRERA 10 NO 4 18,7773196,hotelnobsacolonial@hotmail.com,ARGEMIRO PEREZ LOPEZ
15491,NOBSA,HOTEL TURISTICO VILLA DEL SOL,KILOMETRO 5 VIA SOGAMOSO BELENCITO,7724164,hotelturisticolavilladelsol@hotmail.com,JUAN MANUEL HERRERA URIBIO
15494,NUEVO COLON,HOTEL SANTA CLARA NUEVO COLON,CALLE 3 NO 4 75,5482759,hotelsantaclarasas@gmail.com,JOHN HENRY ALBAÑIL GUZMAN
15500,OICATA,HOTEL REFUGIO CASTILLO DEL VIENTO,VEREDA PORAVITA SECTOR LA VIRGEN,3115217296,bibianaesca@hotmail.com,MARTHA BIBIANA ESCALLON QUINTERO
15516,PAIPA,FANINY HOTEL,CALLE 25 NO 5 18 KILOMETRO 1 VIA PISCINAS ,7851331,faninyhotel@hotmail.com,NEMECIO RUIZ TORREZ
15516,PAIPA,HOTELES ESTELAR SA SUCURSAL PAIPA,ORILLAS DEL LAGO SOCHAGOTA,7850944,contraloria@paipahotelycentrodeconvenciones.com,JORGE ALFONSO MILLAN GUEVARA
15516,PAIPA,HOTEL EL LAGO LTDA,CALLE 6 NO 4B 68,7850872 / 3134231260,hotelago@hotmail.com / reservas@ellagohotel.com,OLGA VICTORIA LOZANO RAMIREZ
15516,PAIPA,HOTEL LANCEROS COLSUBSIDIO,KILOMETRO 4 VIA PANTANO DE VARGAS,7850536,NI,CARLOS LEONARDO RUIZ DIONICIO
15516,PAIPA,HOTEL COLONIAL COLSUBSIDIO,KILOMETRO 3 VIA A PANTANO DE VARGAS,7850536,hoteles.paipa@colsubsidio.com,LEONARDO RUIZ
15516,PAIPA,LA CASONA DEL SALITRE PAIPA,VIA TOCA KILOMETRO 1 VEREDA EL SALITRE,7850603,casona@hotelsochagota.com,CARLOS DUARTE VEGA
15516,PAIPA,HOTEL SOCHAGOTA,KILOMETRO 2 VIA PISCINAS MUNICIPALES,7850011,sochagotahotel@hotmail.com,CARLOS DUARTE VEGA
15516,PAIPA,LA POSADA,CALLE 23 NO 20 37,7850073,andresgarcia7@gmail.com,PRECELIA ECHEVERRIA DE GARCIA
15516,PAIPA,HOTEL EL PORTAL DE LA CASONA,CALLE 24 NO 19 21,7850176,hotelelportaldelacasona@gmail.com,LILIANA GÓMEZ PALACIOS
15516,PAIPA,HOTEL CABAÑAS EL PORTON,AVENIDA PISCINAS TERMALES,7850168,elporton_paipa@reymoreno.net.co,CARLOS ALFONSO GALVIS GUTIERREZ
15516,PAIPA,HOTEL CASA BLANCA,KILOMETRO 1 VIA PISCINAS,7850215,marisolg2002@hotmail.com,ROBERTO GONZALEZ CUTA
15516,PAIPA,HOTEL FAMILIAR CHERATON,CALLE 23 NO 18 07,7850359,NI,ADELINA PANQUEVA DE JIMENEZ
15516,PAIPA,DAZA HOTEL,CARRERA 19 NO 25 29,7850071,dazahotel@telesat.com.co,GILBERTO ANTONIO DAZA HIGUERA
15516,PAIPA,HOTEL LIBERTADORES,CALLE 25 NO 5 141 AVENIDA LAS PISCINAS,850618,,ABRAHAM MERCHAN CORREDOR
15516,PAIPA,HOTEL TUVALU,CALLE 21 NO 22 15,7850674,hoteltuvalu@hotmail.com,DIANA CRISTINA ROBERTO PINTO
15516,PAIPA,HOTEL VILLA LUNA CONFORD,CALLE 25 NO 9 07,7850520,NI,EFREN MONROY VARGAS
15516,PAIPA,HOTEL PANORAMA COMFABOY,CARRERA 10 NO 16 81,7850175,ytiria@comfaboy.com.co,RICARDO QUIJANO MARTINEZ
15516,PAIPA,HOTEL CARLOT,CARRERA 20 NO 24 22,7851497,NI,NANCY GONZALEZ SUAREZ
15516,PAIPA,HOTEL ZUHE CENTRO DE NEGOCIOS Y CONVENCIONES,CALLE 25 NO 18 32,7851398,hotelzuhepaipa@hotmail.com,YANNETH MORENO ROMERO
15516,PAIPA,CABAÑAS GUACATA HOTEL,CARRERA 10 NO 25 61,7850514,carlos.eduardo@guacatahotel.com,BEATRIZ SILVA DE FORERO
15516,PAIPA,BUNGALOWS CALANDAIMA,CARRERA 13 NO 25 220 VIA PISCINAS,7850558,piedadls12@hotmail.com,VICENTE FERRER SANTAMARIA ABRIL
15516,PAIPA,CABAÑAS BALCONES DE SAN CAYETANO,VEREDA LA ESPERANZA,2694397,sancayetano-paipa@hotmail.com,ROBERTO CASTRO GRANADOS
15516,PAIPA,HOTEL CASA GRANDE REAL,CALLE 25 NO 8 03,7850191,NI,CAROLINA CORREDOR NIÑO
15516,PAIPA,CABAÑAS BUENA VISTA,CALLE 30 NO 22 62,7850686,buenavistapaipa@yahoo.com,AURELIANA SOMBREDERO DE RUIZ
15516,PAIPA,HOTEL LOS VELEROS TERMINAL,AVENIDA LOS LIBERTADORES NO 21 29,7850587,NI,ALBA RUDY RODRIGUEZ VALDERRAMA
15516,PAIPA,HOTEL KANDELABRO,CARRERA 19 22 24 ,7851755,NI,LIBARDO HUMBERTO SALAMANCA AMEZQUITA
15516,PAIPA,CANADA HOTEL,CARRERA 20 NO 23 61,7850154,omarcoronadobc@hotmail.com,OMAR ENRIQUE CORONADO BECERRA
15516,PAIPA,CLUB CAMPESTRE LA GRANJA,SECTOR EL COLORADO VEREDA EL TEJAR,7850023,andresramirez.b@gmail.com,ANDRÉS FELIPE RAMÍREZ BARRETO
15516,PAIPA,HOTEL PORTOFINO PAIPA,CALLE 25 NO 24 30,7850790,portofinopaipa@hotmail.com,ANA CECILIA CAMARGO MONROY
15516,PAIPA,CASA HOTEL DESCANSO REAL,VEREDA LA ESPERANZA VIA CANOS,3153121688,olgaluciadiazrodriguez@yahoo.es,OLGA LUCIA DIAZ RODRIGUEZ
15516,PAIPA,INTERNACIONAL LAURENS CLUB S.A. CAMPESTRE,VILLA LAURA VEREDA CAÑOS,3168874848 / 3103374280,luisantonioruiz2009@hotmail.com,LUIS ANTONIO RUIZ MALAVER
15516,PAIPA,CASA HOTEL VILLA VIANNEY,CALLE 26A NO 26 60 BARRIO VILLA VIANNEY,7850088,villavianney@hotmail.com,JULIO ALBERTO GARAVITO PALACIOS
15516,PAIPA,SOCHAGOTA IPS,CALLE 25 NO 5 100,7852301,sochagotaips@gmail.com,MANUEL GUILLERMO RODRIGUEZ NIÑO
15516,PAIPA,HOSPEDAJE FAMILIAR EL MIRADOR,CALLE 24C NO 8 35 BARRIO VILLA PANORAMA,7853613,NI,AMPARO GUATIBONZA RODRIGUEZ
15516,PAIPA,HOSTERIA REAL MARQUES,CARRERA 19 NO 20 08,7851867,hosteriareal@hotmail.es,LUZ DILIA LUGO MARQUEZ
15516,PAIPA,VIVIENDA TURISTICA PORTAL DE FLORES,CALLE 25 NO 5 05,3112785829,NI,SHANDIRA WRIGHT RODRIGUEZ
15531,PAUNA,LA POSADA DE CHAVA,CARRERA 6 NO 5 13 FRENTE AL PARQUE MUNICIPAL,67991391,malijj@hotmail.com,
15542,PESCA,EL PORTAL DE LA LOMA,VEREDA CHINCUA FINCA EL LUNAR,3203028544,juliaquinmen@yahoo.es,ROSA JULIA QUINTERO MENDOZA
15572,PUERTO BOYACA,HOTEL NODILAN,CALLE 12 NO 3 29,7384055,NI,LUZ MARIA VELASQUEZ DE PEREZ
